From Node,To Node,Road Name,Baseline Flow,Capacity,V/C Ratio
lapaz - 9,jaro - 19,Monfort Blvd,1595.7,2800,0.57
lapaz - 10,Proper - 7,Bonifacio Drive (Rev),120.0,2800,0.043
lapaz - 10,lapaz - 1,Luna St - Esplanade 5 (Rev),179.52,2800,0.064
lapuz - 1,lapaz - 4,Divinagracia St (Rev),0.0,1400,0.0
lapuz - 1,lapuz - 3,Railroad St,0.0,1400,0.0
lapuz - 2,Proper - 9,Quirino - Lopez Bridge (Rev),3625.2,2800,1.295
lapuz - 2,lapaz - 2,Rizal St - Huervana St (Rev),0.0,2800,0.0
lapuz - 2,lapuz - 4,Rizal St - Ferry Terminal Access Rd,3625.2,2800,1.295
lapuz - 3,lapuz - 1,Railroad St (Rev),0.0,1400,0.0
lapuz - 4,lapuz - 2,Rizal St - Ferry Terminal Access Rd (Rev),3625.2,2800,1.295
lapuz - 4,lapuz - 5,New Iloilo Ferry Terminal Access Rd,0.0,4200,0.0
lapuz - 4,lapuz - 6,Rizal St - Iloilo Airport Direct Rd,584.1,2800,0.209
lapuz - 5,lapuz - 4,New Iloilo Ferry Terminal Access Rd (Rev),0.0,4200,0.0
lapuz - 6,lapuz - 4,Rizal St - Iloilo Airport Direct Rd (Rev),584.1,2800,0.209
lapuz - 6,lapuz - 7,Lapuz Mansaya Loboc Rd,0.0,2800,0.0
lapuz - 6,lapuz - 8,Iloilo Airport Direct Rd,0.0,1400,0.0
lapuz - 7,lapaz - 9,Coastal Rd (Rev),130.9,2800,0.047
lapuz - 7,lapuz - 6,Lapuz Mansaya Loboc Rd (Rev),0.0,2800,0.0
lapuz - 8,lapuz - 6,Iloilo Airport Direct Rd (Rev),0.0,1400,0.0
